--> Starting Seed 20 on a separate CPU core...
Seed: 20 | Step: 1951 | Episode Return: 49.74 | Length: 51
Seed: 20 | Step: 1974 | Episode Return: 17.68 | Length: 23
Seed: 20 | Step: 1995 | Episode Return: 11.80 | Length: 21
Seed: 20 | Step: 2009 | Episode Return: 10.31 | Length: 14
Seed: 20 | Step: 2029 | Episode Return: 20.61 | Length: 20
Seed: 20 | Step: 2041 | Episode Return: 9.99 | Length: 12
Seed: 20 | Step: 2060 | Episode Return: 18.80 | Length: 19
Seed: 20 | Step: 2076 | Episode Return: 9.82 | Length: 16
Seed: 20 | Step: 2095 | Episode Return: 11.66 | Length: 19
Seed: 20 | Step: 2111 | Episode Return: 13.24 | Length: 16
Seed: 20 | Step: 2127 | Episode Return: 13.01 | Length: 16
Seed: 20 | Step: 2144 | Episode Return: 11.19 | Length: 17
Seed: 20 | Step: 2160 | Episode Return: 11.61 | Length: 16
Seed: 20 | Step: 2173 | Episode Return: 9.73 | Length: 13
Seed: 20 | Step: 2250 | Episode Return: 94.73 | Length: 77
Seed: 20 | Step: 2270 | Episode Return: 15.49 | Length: 20
Seed: 20 | Step: 2302 | Episode Return: 22.12 | Length: 32
Seed: 20 | Step: 2345 | Episode Return: 71.64 | Length: 43
Seed: 20 | Step: 2358 | Episode Return: 8.69 | Length: 13
Seed: 20 | Step: 2380 | Episode Return: 25.24 | Length: 22
Seed: 20 | Step: 2406 | Episode Return: 23.39 | Length: 26
Seed: 20 | Step: 2431 | Episode Return: 20.94 | Length: 25
Seed: 20 | Step: 2479 | Episode Return: 62.16 | Length: 48
Seed: 20 | Step: 2498 | Episode Return: 16.57 | Length: 19
Seed: 20 | Step: 2533 | Episode Return: 37.44 | Length: 35
Seed: 20 | Step: 2553 | Episode Return: 14.86 | Length: 20
Seed: 20 | Step: 2579 | Episode Return: 30.26 | Length: 26
Seed: 20 | Step: 2603 | Episode Return: 10.20 | Length: 24
Seed: 20 | Step: 2618 | Episode Return: 13.86 | Length: 15
Seed: 20 | Step: 2648 | Episode Return: 39.20 | Length: 30
Seed: 20 | Step: 2675 | Episode Return: 31.37 | Length: 27
Seed: 20 | Step: 2731 | Episode Return: 93.35 | Length: 56
Seed: 20 | Step: 2745 | Episode Return: 13.11 | Length: 14
Seed: 20 | Step: 2755 | Episode Return: 4.22 | Length: 10
Seed: 20 | Step: 2773 | Episode Return: 14.30 | Length: 18
Seed: 20 | Step: 2790 | Episode Return: 15.70 | Length: 17
Seed: 20 | Step: 2803 | Episode Return: 13.78 | Length: 13
Seed: 20 | Step: 2819 | Episode Return: 11.80 | Length: 16
Seed: 20 | Step: 2834 | Episode Return: 14.36 | Length: 15
Seed: 20 | Step: 2858 | Episode Return: 17.11 | Length: 24
Seed: 20 | Step: 2887 | Episode Return: 12.96 | Length: 29
Seed: 20 | Step: 2903 | Episode Return: 16.25 | Length: 16
Seed: 20 | Step: 2915 | Episode Return: 10.51 | Length: 12
Seed: 20 | Step: 2942 | Episode Return: 20.98 | Length: 27
--> Starting Seed 30 on a separate CPU core...
Seed: 30 | Step: 11 | Episode Return: 7.67 | Length: 12
Seed: 30 | Step: 22 | Episode Return: 7.20 | Length: 11
Seed: 30 | Step: 39 | Episode Return: 11.93 | Length: 17
Seed: 30 | Step: 99 | Episode Return: 39.32 | Length: 60
Seed: 30 | Step: 114 | Episode Return: 14.32 | Length: 15
Seed: 30 | Step: 125 | Episode Return: 7.49 | Length: 11
Seed: 30 | Step: 151 | Episode Return: 25.88 | Length: 26
Seed: 30 | Step: 162 | Episode Return: 8.81 | Length: 11
Seed: 30 | Step: 179 | Episode Return: 11.85 | Length: 17
Seed: 30 | Step: 235 | Episode Return: 60.65 | Length: 56
Seed: 30 | Step: 270 | Episode Return: 22.80 | Length: 35
Seed: 30 | Step: 293 | Episode Return: 29.67 | Length: 23
Seed: 30 | Step: 319 | Episode Return: 17.11 | Length: 26
Seed: 30 | Step: 340 | Episode Return: 17.35 | Length: 21
Seed: 30 | Step: 415 | Episode Return: 98.42 | Length: 75
Seed: 30 | Step: 451 | Episode Return: 11.28 | Length: 36
Seed: 30 | Step: 463 | Episode Return: 11.57 | Length: 12
Seed: 30 | Step: 483 | Episode Return: 21.75 | Length: 20
Seed: 30 | Step: 528 | Episode Return: 63.81 | Length: 45
Seed: 30 | Step: 549 | Episode Return: 21.53 | Length: 21
Seed: 30 | Step: 592 | Episode Return: 56.03 | Length: 43
Seed: 30 | Step: 620 | Episode Return: 9.00 | Length: 28
Seed: 30 | Step: 634 | Episode Return: 9.31 | Length: 14
Seed: 30 | Step: 642 | Episode Return: 6.28 | Length: 8
Seed: 30 | Step: 664 | Episode Return: 10.53 | Length: 22
Seed: 30 | Step: 683 | Episode Return: 19.97 | Length: 19
Seed: 30 | Step: 710 | Episode Return: 19.03 | Length: 27
Seed: 30 | Step: 727 | Episode Return: 17.92 | Length: 17
Seed: 30 | Step: 754 | Episode Return: 19.32 | Length: 27
Seed: 30 | Step: 771 | Episode Return: 11.71 | Length: 17
Seed: 30 | Step: 829 | Episode Return: 51.64 | Length: 58
Seed: 30 | Step: 859 | Episode Return: 25.58 | Length: 30
Seed: 30 | Step: 874 | Episode Return: 13.08 | Length: 15
Seed: 30 | Step: 894 | Episode Return: 16.48 | Length: 20
Seed: 30 | Step: 909 | Episode Return: 12.91 | Length: 15
Seed: 30 | Step: 926 | Episode Return: 16.05 | Length: 17
Seed: 30 | Step: 943 | Episode Return: 12.14 | Length: 17
Seed: 30 | Step: 957 | Episode Return: 10.86 | Length: 14
Seed: 30 | Step: 988 | Episode Return: 28.66 | Length: 31
Seed: 30 | Step: 1005 | Episode Return: 10.01 | Length: 17
Seed: 30 | Step: 1017 | Episode Return: 10.30 | Length: 12
Seed: 30 | Step: 1033 | Episode Return: 8.96 | Length: 16
Seed: 30 | Step: 1049 | Episode Return: 11.88 | Length: 16
Seed: 30 | Step: 1099 | Episode Return: 65.13 | Length: 50
Seed: 30 | Step: 1110 | Episode Return: 8.66 | Length: 11
Seed: 30 | Step: 1126 | Episode Return: 10.92 | Length: 16
Seed: 30 | Step: 1145 | Episode Return: 16.74 | Length: 19
Seed: 30 | Step: 1163 | Episode Return: 15.17 | Length: 18
