--> Starting Seed 10 on a separate CPU core...
Seed: 10 | Step: 1994 | Episode Return: 14.15 | Length: 16
Seed: 10 | Step: 2009 | Episode Return: 8.75 | Length: 15
Seed: 10 | Step: 2043 | Episode Return: 14.34 | Length: 34
Seed: 10 | Step: 2072 | Episode Return: 23.98 | Length: 29
Seed: 10 | Step: 2090 | Episode Return: 10.92 | Length: 18
Seed: 10 | Step: 2112 | Episode Return: 18.49 | Length: 22
Seed: 10 | Step: 2122 | Episode Return: 7.69 | Length: 10
Seed: 10 | Step: 2146 | Episode Return: 14.71 | Length: 24
Seed: 10 | Step: 2164 | Episode Return: 15.63 | Length: 18
Seed: 10 | Step: 2201 | Episode Return: 31.61 | Length: 37
Seed: 10 | Step: 2212 | Episode Return: 7.26 | Length: 11
Seed: 10 | Step: 2222 | Episode Return: 7.57 | Length: 10
Seed: 10 | Step: 2248 | Episode Return: 12.58 | Length: 26
Seed: 10 | Step: 2266 | Episode Return: 14.32 | Length: 18
Seed: 10 | Step: 2285 | Episode Return: 10.80 | Length: 19
Seed: 10 | Step: 2302 | Episode Return: 16.50 | Length: 17
Seed: 10 | Step: 2319 | Episode Return: 14.09 | Length: 17
Seed: 10 | Step: 2338 | Episode Return: 20.47 | Length: 19
Seed: 10 | Step: 2352 | Episode Return: 13.95 | Length: 14
Seed: 10 | Step: 2366 | Episode Return: 8.88 | Length: 14
Seed: 10 | Step: 2410 | Episode Return: 39.31 | Length: 44
Seed: 10 | Step: 2426 | Episode Return: 13.01 | Length: 16
Seed: 10 | Step: 2488 | Episode Return: 109.19 | Length: 62
Seed: 10 | Step: 2498 | Episode Return: 7.81 | Length: 10
Seed: 10 | Step: 2519 | Episode Return: 23.80 | Length: 21
Seed: 10 | Step: 2531 | Episode Return: 9.14 | Length: 12
Seed: 10 | Step: 2546 | Episode Return: 15.56 | Length: 15
Seed: 10 | Step: 2569 | Episode Return: 12.42 | Length: 23
Seed: 10 | Step: 2584 | Episode Return: 16.00 | Length: 15
Seed: 10 | Step: 2597 | Episode Return: 12.10 | Length: 13
Seed: 10 | Step: 2651 | Episode Return: 73.27 | Length: 54
Seed: 10 | Step: 2669 | Episode Return: 12.38 | Length: 18
Seed: 10 | Step: 2694 | Episode Return: 29.58 | Length: 25
Seed: 10 | Step: 2709 | Episode Return: 13.98 | Length: 15
Seed: 10 | Step: 2719 | Episode Return: 8.33 | Length: 10
Seed: 10 | Step: 2735 | Episode Return: 15.63 | Length: 16
Seed: 10 | Step: 2793 | Episode Return: 65.32 | Length: 58
Seed: 10 | Step: 2813 | Episode Return: 14.31 | Length: 20
Seed: 10 | Step: 2834 | Episode Return: 11.92 | Length: 21
Seed: 10 | Step: 2852 | Episode Return: 14.60 | Length: 18
Seed: 10 | Step: 2864 | Episode Return: 10.50 | Length: 12
Seed: 10 | Step: 2876 | Episode Return: 8.05 | Length: 12
Seed: 10 | Step: 2903 | Episode Return: 30.61 | Length: 27
Seed: 10 | Step: 2923 | Episode Return: 16.19 | Length: 20
Seed: 10 | Step: 2945 | Episode Return: 20.91 | Length: 22
--> Starting Seed 30 on a separate CPU core...
Seed: 30 | Step: 8 | Episode Return: 6.79 | Length: 9
Seed: 30 | Step: 21 | Episode Return: 11.62 | Length: 13
Seed: 30 | Step: 38 | Episode Return: 15.92 | Length: 17
Seed: 30 | Step: 60 | Episode Return: 17.50 | Length: 22
Seed: 30 | Step: 86 | Episode Return: 17.78 | Length: 26
Seed: 30 | Step: 101 | Episode Return: 14.17 | Length: 15
Seed: 30 | Step: 116 | Episode Return: 7.92 | Length: 15
Seed: 30 | Step: 136 | Episode Return: 13.19 | Length: 20
Seed: 30 | Step: 152 | Episode Return: 10.33 | Length: 16
Seed: 30 | Step: 166 | Episode Return: 5.02 | Length: 14
Seed: 30 | Step: 182 | Episode Return: 10.87 | Length: 16
Seed: 30 | Step: 194 | Episode Return: 9.70 | Length: 12
Seed: 30 | Step: 242 | Episode Return: 41.73 | Length: 48
Seed: 30 | Step: 269 | Episode Return: 28.30 | Length: 27
Seed: 30 | Step: 299 | Episode Return: 29.09 | Length: 30
Seed: 30 | Step: 315 | Episode Return: 12.89 | Length: 16
Seed: 30 | Step: 342 | Episode Return: 10.06 | Length: 27
Seed: 30 | Step: 354 | Episode Return: 7.95 | Length: 12
Seed: 30 | Step: 368 | Episode Return: 8.27 | Length: 14
Seed: 30 | Step: 382 | Episode Return: 11.18 | Length: 14
Seed: 30 | Step: 415 | Episode Return: 27.60 | Length: 33
Seed: 30 | Step: 430 | Episode Return: 8.21 | Length: 15
Seed: 30 | Step: 451 | Episode Return: 15.18 | Length: 21
Seed: 30 | Step: 490 | Episode Return: 54.39 | Length: 39
Seed: 30 | Step: 501 | Episode Return: 8.15 | Length: 11
Seed: 30 | Step: 525 | Episode Return: 16.60 | Length: 24
Seed: 30 | Step: 553 | Episode Return: 31.86 | Length: 28
Seed: 30 | Step: 586 | Episode Return: 32.03 | Length: 33
Seed: 30 | Step: 599 | Episode Return: 8.02 | Length: 13
Seed: 30 | Step: 615 | Episode Return: 10.03 | Length: 16
Seed: 30 | Step: 634 | Episode Return: 16.81 | Length: 19
Seed: 30 | Step: 658 | Episode Return: 19.99 | Length: 24
Seed: 30 | Step: 669 | Episode Return: 7.37 | Length: 11
Seed: 30 | Step: 680 | Episode Return: 8.89 | Length: 11
Seed: 30 | Step: 694 | Episode Return: 9.22 | Length: 14
Seed: 30 | Step: 721 | Episode Return: 15.12 | Length: 27
Seed: 30 | Step: 743 | Episode Return: 25.80 | Length: 22
Seed: 30 | Step: 772 | Episode Return: 17.91 | Length: 29
Seed: 30 | Step: 788 | Episode Return: 12.48 | Length: 16
Seed: 30 | Step: 844 | Episode Return: 57.93 | Length: 56
Seed: 30 | Step: 868 | Episode Return: 19.61 | Length: 24
Seed: 30 | Step: 881 | Episode Return: 11.64 | Length: 13
Seed: 30 | Step: 895 | Episode Return: 12.18 | Length: 14
Seed: 30 | Step: 906 | Episode Return: 8.23 | Length: 11
Seed: 30 | Step: 932 | Episode Return: 19.25 | Length: 26
Seed: 30 | Step: 952 | Episode Return: 14.69 | Length: 20
