--> Starting Seed 10 on a separate CPU core...
Seed: 10 | Step: 1863 | Episode Return: 4.09 | Length: 22
Seed: 10 | Step: 1877 | Episode Return: 1.99 | Length: 14
Seed: 10 | Step: 1899 | Episode Return: 8.18 | Length: 22
Seed: 10 | Step: 1930 | Episode Return: 3.19 | Length: 31
Seed: 10 | Step: 1955 | Episode Return: 1.42 | Length: 25
Seed: 10 | Step: 1977 | Episode Return: -4.38 | Length: 22
Seed: 10 | Step: 1989 | Episode Return: 3.51 | Length: 12
Seed: 10 | Step: 2020 | Episode Return: 5.74 | Length: 31
Seed: 10 | Step: 2032 | Episode Return: 1.94 | Length: 12
Seed: 10 | Step: 2073 | Episode Return: 17.56 | Length: 41
Seed: 10 | Step: 2086 | Episode Return: 3.79 | Length: 13
Seed: 10 | Step: 2100 | Episode Return: 3.50 | Length: 14
Seed: 10 | Step: 2110 | Episode Return: -0.63 | Length: 10
Seed: 10 | Step: 2128 | Episode Return: 1.70 | Length: 18
Seed: 10 | Step: 2148 | Episode Return: -0.43 | Length: 20
Seed: 10 | Step: 2167 | Episode Return: 3.99 | Length: 19
Seed: 10 | Step: 2176 | Episode Return: -5.06 | Length: 9
Seed: 10 | Step: 2206 | Episode Return: 5.86 | Length: 30
Seed: 10 | Step: 2238 | Episode Return: 12.48 | Length: 32
Seed: 10 | Step: 2253 | Episode Return: 0.49 | Length: 15
Seed: 10 | Step: 2280 | Episode Return: 2.69 | Length: 27
Seed: 10 | Step: 2294 | Episode Return: 3.34 | Length: 14
Seed: 10 | Step: 2317 | Episode Return: 7.08 | Length: 23
Seed: 10 | Step: 2343 | Episode Return: 5.65 | Length: 26
Seed: 10 | Step: 2379 | Episode Return: 30.04 | Length: 36
Seed: 10 | Step: 2398 | Episode Return: -2.87 | Length: 19
Seed: 10 | Step: 2414 | Episode Return: 4.81 | Length: 16
Seed: 10 | Step: 2427 | Episode Return: 2.21 | Length: 13
Seed: 10 | Step: 2444 | Episode Return: 5.50 | Length: 17
Seed: 10 | Step: 2463 | Episode Return: 3.85 | Length: 19
Seed: 10 | Step: 2481 | Episode Return: -6.23 | Length: 18
Seed: 10 | Step: 2492 | Episode Return: 0.41 | Length: 11
Seed: 10 | Step: 2531 | Episode Return: 16.60 | Length: 39
Seed: 10 | Step: 2544 | Episode Return: 2.40 | Length: 13
Seed: 10 | Step: 2564 | Episode Return: 9.48 | Length: 20
Seed: 10 | Step: 2589 | Episode Return: 1.39 | Length: 25
Seed: 10 | Step: 2605 | Episode Return: -1.47 | Length: 16
Seed: 10 | Step: 2624 | Episode Return: 3.42 | Length: 19
Seed: 10 | Step: 2636 | Episode Return: 0.17 | Length: 12
Seed: 10 | Step: 2660 | Episode Return: 3.20 | Length: 24
Seed: 10 | Step: 2670 | Episode Return: -0.24 | Length: 10
Seed: 10 | Step: 2687 | Episode Return: -1.08 | Length: 17
Seed: 10 | Step: 2732 | Episode Return: 6.93 | Length: 45
Seed: 10 | Step: 2745 | Episode Return: 0.86 | Length: 13
Seed: 10 | Step: 2766 | Episode Return: 0.64 | Length: 21
